location,count,latitude,longitude
"Kapuas Hulu, West Kalimantan",2,-1.0,115.0
"Cecil, Central Region",2,1.3521,103.8198
"Tanah Grogot, East Kalimantan",2,-1.0,115.0
"Dang Wangi, Kuala Lumpur",2,3.139,101.6869
"Parakan Salak, West Java",2,-6.9175,107.6191
"Terbanggi Besar, Lampung",2,-0.5,104.0
"Singosari, East Java",2,-7.5361,112.2384
"Miri Division, Sarawak",2,1.55,110.3333
"Muar District, Johor",2,1.4927,103.7414
"Kandis, Riau",2,,
"Sungai Lilin, South Sumatra",2,-0.5,104.0
"South Solok, West Sumatra",2,-0.5,104.0
"Buduran, East Java",2,-7.5361,112.2384
"Menggatal, Sabah",2,5.9788,116.0753
"Seri Iskandar, Perak",2,4.5975,101.0901
"Periuk, Banten",2,-6.12,106.1503
"Jaten, Central Java",2,-7.15,110.1403
"Benowo, East Java",2,-7.5361,112.2384
"North Palu, Central Sulawesi",2,-3.0,120.0
"Semitau, West Kalimantan",2,-1.0,115.0
"Manyar, East Java",2,-7.5361,112.2384
"Medan Polonia, Sumatera Utara",2,-0.5,104.0
"Kota Padawan, Sarawak",2,1.55,110.3333
"Keningau, Sabah",2,5.9788,116.0753
"Cheng, Melaka",2,2.1896,102.2501
"Bandar Springhill, Negeri Sembilan",2,2.725,101.9375
"Others, Johor",2,1.4927,103.7414
"Tanjung Priok, Jakarta Raya",2,-6.2088,106.8456
"Ketapang, Lampung",2,-0.5,104.0
"Pantai Dalam, Kuala Lumpur",2,3.139,101.6869
"Dukuh Pakis, Jawa Timur",2,-7.5361,112.2384
"Bagan Sinembah, Riau",2,,
"Balige, North Sumatra",2,-8.3405,115.092
"Kediri Regency, East Java",2,-7.5361,112.2384
"Nusa Bestari, Johor",2,1.4927,103.7414
"Tanjung Kidurong, Sarawak",2,1.55,110.3333
"Bandar Permas, Johor",2,1.4927,103.7414
"Pelangi, Johor",2,1.4927,103.7414
"Boat Quay, Central Region",2,1.3521,103.8198
"Trenggalek, East Java",2,-7.5361,112.2384
"Changlun, Kedah",2,6.12,100.37
"Selama, Perak",2,4.5975,101.0901
"Taman Desa Tebrau, Johor",2,1.4927,103.7414
"Lubok China, Melaka",2,2.1896,102.2501
"Weda, North Maluku",2,-3.0,128.0
"North Minahasa, North Sulawesi",2,-3.0,120.0
"Tana Tidung, North Kalimantan",2,-1.0,115.0
"Bishan East, Central Region",2,1.3521,103.8198
"Tanah Miring, South Papua",2,-4.0,137.0
"Kota Atambua, East Nusa Tenggara",2,-8.5,117.0
"Samarinda Ulu, East Kalimantan",2,-1.0,115.0
"Kesamben, East Java",2,-7.5361,112.2384
"Sukodono, East Java",2,-7.5361,112.2384
"Tanjung Pinang City, Riau Islands",2,1.0,104.0
"Simalungun, Sumatera Utara",2,-0.5,104.0
"Telupid, Sabah",2,5.9788,116.0753
"Kuala Kangsar, Perak",2,4.5975,101.0901
"Jerteh, Terengganu",2,5.3303,103.1408
Kalimantan Utara,2,-1.0,115.0
"Cipeundeuy, West Java",2,-6.9175,107.6191
"Padang Lawas, North Sumatra",2,-0.5,104.0
"Gorontalo Regency, Gorontalo",2,0.7186,122.4475
"Taman Daya, Johor",2,1.4927,103.7414
"Bandar Baru Selayang, Selangor",2,3.075,101.525
"Bandar Perda, Penang",2,5.4141,100.3288
"Joo Seng, Central Region",2,1.3521,103.8198
"Kabupaten Demak, Jawa Tengah",2,-7.15,110.1403
"North Barito, Central Kalimantan",2,-1.0,115.0
"Kuala Pilah, Negeri Sembilan",2,2.725,101.9375
"Rembau, Negeri Sembilan",2,2.725,101.9375
"Indragiri Hilir, Riau",2,,
"Pulo Gadung, Jakarta Raya",2,-6.2088,106.8456
"Betung, Sumatera Selatan",2,-0.5,104.0
"Sungai Udang, Melaka",2,2.1896,102.2501
"Others, Selangor",2,3.075,101.525
"Teluk Gong, Selangor",2,3.075,101.525
"Poso, Central Sulawesi",2,-3.0,120.0
"Tanjung Morawa, Sumatera Utara",2,-0.5,104.0
"Kebon Jeruk, Jakarta Raya",2,-6.2088,106.8456
"Kuala Berang, Terengganu",2,5.3303,103.1408
"Palu Selatan, Sulawesi Tengah",2,-3.0,120.0
"Tapah, Perak",2,4.5975,101.0901
"Balai Ringin, Sarawak",2,1.55,110.3333
"Bukit Payong, Terengganu",2,5.3303,103.1408
"North Purwokerto, Central Java",2,-7.15,110.1403
"Mahakam Ulu, East Kalimantan",2,-1.0,115.0
"Toba, West Kalimantan",2,-1.0,115.0
"Cisarua, Jawa Barat",2,-6.9175,107.6191
"Phillip, Central Region",2,1.3521,103.8198
"Pagoh, Johor",2,1.4927,103.7414
"Bestari Jaya, Selangor",2,3.075,101.525
Papua Barat,2,-4.0,137.0
"Banyuwangi, Jawa Timur",2,-7.5361,112.2384
"Pandaan, Jawa Timur",2,-7.5361,112.2384
"Pontianak Kota, Kalimantan Barat",2,-1.0,115.0
"Bangkalan Regency, East Java",2,-7.5361,112.2384
"Kasihan, Yogyakarta Special Region",2,-8.5,117.0
"Lembang, West Java",2,-6.9175,107.6191
"Sungai Way, Selangor",2,3.075,101.525
"Cheras Batu 9, Selangor",2,3.075,101.525
"Mojosari, Jawa Timur",2,-7.5361,112.2384
"Kabupaten Karanganyar, Jawa Tengah",2,-7.15,110.1403
"Jember, Jawa Timur",2,-7.5361,112.2384
"Batang, Jawa Tengah",2,-7.15,110.1403
"Gambir, Jakarta Raya",2,-6.2088,106.8456
"Pangandaran, Jawa Barat",2,-6.9175,107.6191
"Padang Pariaman, West Sumatra",2,-0.5,104.0
"Plered, West Java",2,-6.9175,107.6191
"South Tapanuli, North Sumatra",2,-0.5,104.0
"South Tanjung Balai, North Sumatra",2,-0.5,104.0
"Batu Bara, North Sumatra",2,-0.5,104.0
"Kudus Kota, Jawa Tengah",2,-7.15,110.1403
"Karo, North Sumatra",2,-0.5,104.0
"South Hulu Sungai, South Kalimantan",2,-1.0,115.0
"Subang, Jawa Barat",2,-6.9175,107.6191
"Valdor, Penang",2,5.4141,100.3288
"Karangan, Kedah",2,6.12,100.37
"Banjarbaru, Kalimantan Selatan",2,-1.0,115.0
"Cibinong, Jawa Barat",2,-6.9175,107.6191
"Kubang Pasu, Kedah",2,6.12,100.37
"Paya Rumput, Melaka",2,2.1896,102.2501
"Sarikei, Sarawak",2,1.55,110.3333
"Central Praya, West Nusa Tenggara",2,-8.5,117.0
"Jabung, Lampung",2,-0.5,104.0
"South Seribu Islands, Jakarta",2,-6.2088,106.8456
"Medan Marelan, North Sumatra",2,-0.5,104.0
"Sri Aman Division, Sarawak",2,1.55,110.3333
"East Ungaran, Central Java",2,-7.15,110.1403
"Likas, Sabah",2,5.9788,116.0753
"Kabupaten Kendal, Jawa Tengah",2,-7.15,110.1403
"Karangmalang, Central Java",2,-7.15,110.1403
"Gerik, Perak",2,4.5975,101.0901
"Kundasang, Sabah",2,5.9788,116.0753
"Sepanggar, Sabah",2,5.9788,116.0753
"Simpang Pulai, Perak",2,4.5975,101.0901
"Mandai East, North Region",2,1.3521,103.8198
"East Taliabu, North Maluku",2,-3.0,128.0
"Sembawang North, North Region",2,1.3521,103.8198
"Ulu Pandan, Central Region",2,1.3521,103.8198
"Tenjo, Jawa Barat",2,-6.9175,107.6191
"Galang, North Sumatra",2,-0.5,104.0
"Ijok, Selangor",2,3.075,101.525
"Bukit Tengah, Penang",2,5.4141,100.3288
"Jerantut, Pahang",2,3.8,103.0833
"Kota Warisan, Selangor",2,3.075,101.525
"Kinta District, Perak",2,4.5975,101.0901
"Karawang Barat, Jawa Barat",2,-6.9175,107.6191
"Gunung Sindur, Jawa Barat",2,-6.9175,107.6191
"Balige, Sumatera Utara",2,-8.3405,115.092
"Ngawi Regency, East Java",2,-7.5361,112.2384
"Sindang Jaya, Banten",2,-6.12,106.1503
"Medan Area, North Sumatra",2,-0.5,104.0
"Pasarrebo, Jakarta",2,-6.2088,106.8456
"Tanah Laut, South Kalimantan",2,-1.0,115.0
"Bangko, Jambi",2,-0.5,104.0
"Arjawinangun, West Java",2,-6.9175,107.6191
"Maros, South Sulawesi",2,-3.0,120.0
"Central Bogor, West Java",2,-6.9175,107.6191
"West Manggarai, East Nusa Tenggara",2,-8.5,117.0
"Langsa, Aceh",2,-0.5,104.0
"Mimika, Central Papua",2,-4.0,137.0
"Rokan Hilir, Riau",2,,
"Johol, Negeri Sembilan",2,2.725,101.9375
"Kinabatangan District, Sabah",2,5.9788,116.0753
"Tasek Gelugor, Penang",2,5.4141,100.3288
"Taman Merdeka Permai, Melaka",2,2.1896,102.2501
"Sengkang West, North-East Region",2,1.3521,103.8198
"Clementi West, West Region",2,1.3521,103.8198
"Tuas North, West Region",2,1.3521,103.8198
"Lorong 8 Toa Payoh, Central Region",2,1.3521,103.8198
"North-Eastern Islands, North-East Region",2,1.3521,103.8198
"Paya Lebar North, East Region",2,1.3521,103.8198
"Sembawang East, North Region",2,1.3521,103.8198
"Tampines West, East Region",2,1.3521,103.8198
"Jurong West Central, West Region",2,1.3521,103.8198
"Rasa, Selangor",2,3.075,101.525
"Kragilan, Banten",2,-6.12,106.1503
"Pare, East Java",2,-7.5361,112.2384
Sulawesi Tengah,2,-3.0,120.0
"Bengalon, East Kalimantan",2,-1.0,115.0
"West Purwokerto, Central Java",2,-7.15,110.1403
"Mulyorejo, East Java",2,-7.5361,112.2384
"Garut Kota, West Java",2,-6.9175,107.6191
"Pujut, West Nusa Tenggara",2,-8.5,117.0
"Kulon Progo, Yogyakarta Special Region",2,-8.5,117.0
"Ghim Moh, Central Region",2,1.3521,103.8198
"China Square, Central Region",2,1.3521,103.8198
"International Business Park, West Region",2,1.3521,103.8198
"Hougang Central, North-East Region",2,1.3521,103.8198
"Pasir Ris Central, East Region",2,1.3521,103.8198
"Yishun West, North Region",2,1.3521,103.8198
"Tempel, Yogyakarta Special Region",2,-8.5,117.0
"Boyolali, Jawa Tengah",2,-7.15,110.1403
"North Gorontalo, Gorontalo",2,0.7186,122.4475
"Bagan Serai, Perak",2,4.5975,101.0901
"East Halmahera, North Maluku",2,-3.0,128.0
"Wonogiri Regency, Central Java",2,-7.15,110.1403
"Merawang, Bangka Belitung",2,-2.1333,106.1333
"West Padang, West Sumatra",2,-0.5,104.0
"Tegal Regency, Central Java",2,-7.15,110.1403
"Polokarto, Central Java",2,-7.15,110.1403
"Kuala Kencana, Central Papua",2,-4.0,137.0
"Kediri, Bali",2,-8.3405,115.092
"Betong, Sarawak",2,1.55,110.3333
"Karawang Timur, Jawa Barat",2,-6.9175,107.6191
"Segamat, Johor",2,1.4927,103.7414
"Gempol, Jawa Timur",2,-7.5361,112.2384
"Boven Digoel, Papua Selatan",2,-4.0,137.0
"Wasile, Maluku Utara",2,-3.0,128.0
"Selandar, Melaka",2,2.1896,102.2501
"Pandan Perdana, Kuala Lumpur",2,3.139,101.6869
"Kepulauan Seribu, Jakarta",2,-6.2088,106.8456
"South Dumai, Riau",2,,
"Blora, Central Java",2,-7.15,110.1403
"East Lombok, West Nusa Tenggara",2,-8.5,117.0
"Kotabaru, South Kalimantan",2,-1.0,115.0
"Tambelang, West Java",2,-6.9175,107.6191
North Maluku,2,-3.0,128.0
"Arcamanik, West Java",2,-6.9175,107.6191
"Babakan Madang, West Java",2,-6.9175,107.6191
"Tulis, Central Java",2,-7.15,110.1403
"Banyumanik, Central Java",2,-7.15,110.1403
"Banjaran, West Java",2,-6.9175,107.6191
"Sorong Town, West Papua",2,-4.0,137.0
"East Luwu, South Sulawesi",2,-3.0,120.0
"Katapang, West Java",2,-6.9175,107.6191
"Purworejo Regency, Central Java",2,-7.15,110.1403
"Pamekasan Regency, East Java",2,-7.5361,112.2384
"Tenjo, West Java",2,-6.9175,107.6191
"Taman Melati, Kuala Lumpur",2,3.139,101.6869
"Sungai Nibong, Penang",2,5.4141,100.3288
"Marang District, Terengganu",2,5.3303,103.1408
"Parung, West Java",2,-6.9175,107.6191
"Obi, North Maluku",2,-3.0,128.0
"Bayung Lencir, South Sumatra",2,-0.5,104.0
"South Barito, Central Kalimantan",2,-1.0,115.0
"Matraman, Jakarta",2,-6.2088,106.8456
"Dharmasraya, West Sumatra",2,-0.5,104.0
"South Cimahi, West Java",2,-6.9175,107.6191
"Sumbawa Regency, West Nusa Tenggara",2,-8.5,117.0
"Masaran, Central Java",2,-7.15,110.1403
"Bagan Ajam, Penang",2,5.4141,100.3288
"Medan Labuhan, North Sumatra",2,-0.5,104.0
"Bagan Datuk, Perak",2,4.5975,101.0901
"Gowa, South Sulawesi",2,-3.0,120.0
"Banyudono, Central Java",2,-7.15,110.1403
"Jatinangor, West Java",2,-6.9175,107.6191
"Medan Maimun, North Sumatra",2,-0.5,104.0
"Central Katingan, Central Kalimantan",1,-1.0,115.0
"Bukit Tinggi, Pahang",1,3.8,103.0833
"Siburan, Sarawak",1,1.55,110.3333
"Fernvale, North-East Region",1,1.3521,103.8198
"Badas, East Java",1,-7.5361,112.2384
"Muko Muko, Bengkulu",1,-0.5,104.0
"Kallang Bahru, Central Region",1,1.3521,103.8198
"Indralaya, South Sumatra",1,-0.5,104.0
"Patumbak, North Sumatra",1,-0.5,104.0
"Merangin, Jambi",1,-0.5,104.0
"Pacitan, East Java",1,-7.5361,112.2384
"Tabang, East Kalimantan",1,-1.0,115.0
"East Telukjambe, West Java",1,-6.9175,107.6191
"Pakal, East Java",1,-7.5361,112.2384
"Banjar, South Kalimantan",1,-1.0,115.0
"Sei Rampah, North Sumatra",1,-0.5,104.0
"Raya, North Sumatra",1,-0.5,104.0
"Townsville, North-East Region",1,1.3521,103.8198
"Airport Road, East Region",1,1.3521,103.8198
"Pasir Ris Drive, East Region",1,1.3521,103.8198
"Choa Chu Kang North, West Region",1,1.3521,103.8198
"Putatan District, Sabah",1,5.9788,116.0753
"Tegallalang, Bali",1,-8.3405,115.092
"Luwuk, Sulawesi Tengah",1,-3.0,120.0
"Poncokusumo, East Java",1,-7.5361,112.2384
"Kenjeran, East Java",1,-7.5361,112.2384
"Sunggal, North Sumatra",1,-0.5,104.0
"Ngariboyo, Jawa Timur",1,-7.5361,112.2384
"Ngawi, Jawa Timur",1,-7.5361,112.2384
"Temanggung, Jawa Tengah",1,-7.15,110.1403
"Karangkobar, Jawa Tengah",1,-7.15,110.1403
"Cikajang, Jawa Barat",1,-6.9175,107.6191
"Ciamis, Jawa Barat",1,-6.9175,107.6191
"Seruyan, Central Kalimantan",1,-1.0,115.0
"Seri Menanti, Negeri Sembilan",1,2.725,101.9375
"Sikamat, Negeri Sembilan",1,2.725,101.9375
"Belaga, Sarawak",1,1.55,110.3333
"Alam Impian, Selangor",1,3.075,101.525
"Sei Balai, Sumatera Utara",1,-0.5,104.0
"Cilodong, Jawa Barat",1,-6.9175,107.6191
"Anyar, Banten",1,-6.12,106.1503
"Balok, Pahang",1,3.8,103.0833
"Margomulyo, Jawa Timur",1,-7.5361,112.2384
"Klaten, Jawa Tengah",1,-7.15,110.1403
"Palangkaraya, Kalimantan Tengah",1,-1.0,115.0
"Maduran, Jawa Timur",1,-7.5361,112.2384
"Barabai, Kalimantan Selatan",1,-1.0,115.0
"Cilodong, West Java",1,-6.9175,107.6191
"Dramaga, West Java",1,-6.9175,107.6191
"Sape, West Nusa Tenggara",1,-8.5,117.0
"Dawar Blandong, East Java",1,-7.5361,112.2384
"East Batu Raja, South Sumatra",1,-0.5,104.0
"North Halmahera, North Maluku",1,-3.0,128.0
"Pedurungan, Central Java",1,-7.15,110.1403
"Jonggol, Jawa Barat",1,-6.9175,107.6191
"Distrik Sorong, Papua Barat",1,-4.0,137.0
"Padalarang, Jawa Barat",1,-6.9175,107.6191
"Nabire, Papua Tengah",1,-4.0,137.0
"Sampang, East Java",1,-7.5361,112.2384
Nusa Tenggara Timur,1,-8.5,117.0
"Tebet, Jakarta Raya",1,-6.2088,106.8456
"Angsana, Kalimantan Selatan",1,-1.0,115.0
"Bau Bau, Sulawesi Tenggara",1,-3.0,120.0
"Tanjung Pinang Kota, Kepulauan Riau",1,1.0,104.0
"Halmahera Timur, Maluku Utara",1,-3.0,128.0
"Banyumas, Jawa Tengah",1,-7.15,110.1403
"Payakumbuh, Sumatera Barat",1,-0.5,104.0
"Magetan, Jawa Timur",1,-7.5361,112.2384
"Sampang, Jawa Timur",1,-7.5361,112.2384
"Serkam, Melaka",1,2.1896,102.2501
"Ketapang, Jawa Timur",1,-7.5361,112.2384
"Mentawa Baru Ketapang, Central Kalimantan",1,-1.0,115.0
"Cibarusah, West Java",1,-6.9175,107.6191
"Johan Pahlawan, Aceh",1,-0.5,104.0
"Ungaran, Central Java",1,-7.15,110.1403
"Ende, East Nusa Tenggara",1,-8.5,117.0
"Kalasan, DI Yogyakarta",1,-8.5,117.0
"Happy Garden, Kuala Lumpur",1,3.139,101.6869
"Bekasi Selatan, Jawa Barat",1,-6.9175,107.6191
Kepulauan Riau,1,1.0,104.0
"Saleng, Johor",1,1.4927,103.7414
"Temoh, Perak",1,4.5975,101.0901
"Taman Melodies, Johor",1,1.4927,103.7414
"Bundusan, Sabah",1,5.9788,116.0753
"Sri Gombak, Selangor",1,3.075,101.525
"Majalaya, Jawa Barat",1,-6.9175,107.6191
"Pantai Remis, Perak",1,4.5975,101.0901
"Kendari, Sulawesi Tenggara",1,-3.0,120.0
"Limo, Jawa Barat",1,-6.9175,107.6191
"Payakumbuh City, West Sumatra",1,-0.5,104.0
"Muntilan, Central Java",1,-7.15,110.1403
"Konawe Utara, Sulawesi Tenggara",1,-3.0,120.0
"Pujut, Nusa Tenggara Barat",1,-8.5,117.0
"Ternate Island, North Maluku",1,-3.0,128.0
"Mentawai Islands, West Sumatra",1,-0.5,104.0
"Soreang, West Java",1,-6.9175,107.6191
"Muna, Southeast Sulawesi",1,-3.0,120.0
"Durian Tunggal, Melaka",1,2.1896,102.2501
"Hutan Melintang, Perak",1,4.5975,101.0901
"Others, Sabah",1,5.9788,116.0753
"Kuala Lipis, Pahang",1,3.8,103.0833
"Andir, West Java",1,-6.9175,107.6191
"Kotawaringin Timur, Kalimantan Tengah",1,-1.0,115.0
"Bawen, Jawa Tengah",1,-7.15,110.1403
"Dompu, West Nusa Tenggara",1,-8.5,117.0
"East Ogan Komering Ulu, South Sumatra",1,-0.5,104.0
"Lambandia, Southeast Sulawesi",1,-3.0,120.0
"Kabupaten Pasangkayu, Sulawesi Barat",1,-3.0,120.0
"Sragen, Jawa Tengah",1,-7.15,110.1403
"Lombok Utara, Nusa Tenggara Barat",1,-8.5,117.0
"Ngoro, Jawa Timur",1,-7.5361,112.2384
"Lembah Keramat, Kuala Lumpur",1,3.139,101.6869
"Kota Belud District, Sabah",1,5.9788,116.0753
"Kuala Kedah, Kedah",1,6.12,100.37
"Bengkayang Regency, West Kalimantan",1,-1.0,115.0
"Tual, Maluku",1,-3.0,128.0
"Central Teweh, Central Kalimantan",1,-1.0,115.0
"Melak, East Kalimantan",1,-1.0,115.0
"Rajabasa, Lampung",1,-0.5,104.0
"Bekasi Timur, Jawa Barat",1,-6.9175,107.6191
Maluku Utara,1,-3.0,128.0
"Polewali, Sulawesi Barat",1,-3.0,120.0
"Kolaka, Sulawesi Tenggara",1,-3.0,120.0
"Simpang Pertang, Negeri Sembilan",1,2.725,101.9375
"Kuala Baram, Sarawak",1,1.55,110.3333
"Tarumajaya, Jawa Barat",1,-6.9175,107.6191
"Purwokerto Timur, Jawa Tengah",1,-7.15,110.1403
"Grobogan, Jawa Tengah",1,-7.15,110.1403
"Penjaringan, Jakarta Raya",1,-6.2088,106.8456
"Kalijati, Jawa Barat",1,-6.9175,107.6191
"Damansara Aliff, Johor",1,1.4927,103.7414
"Sluke, Central Java",1,-7.15,110.1403
"Kebomas, East Java",1,-7.5361,112.2384
"Natal, North Sumatra",1,-0.5,104.0
"Matraman, Jakarta Raya",1,-6.2088,106.8456
"West Pontianak, West Kalimantan",1,-1.0,115.0
"Limo, West Java",1,-6.9175,107.6191
"Mranggen, Central Java",1,-7.15,110.1403
"Sukomoro, East Java",1,-7.5361,112.2384
"Jawilan, Banten",1,-6.12,106.1503
West Sulawesi,1,-3.0,120.0
"South Labuhanbatu, North Sumatra",1,-0.5,104.0
"Gunungsitoli, North Sumatra",1,-0.5,104.0
"Tana Toraja, South Sulawesi",1,-3.0,120.0
"Kampung Sungai Penchala, Kuala Lumpur",1,3.139,101.6869
"Sook, Sabah",1,5.9788,116.0753
"Air Lanas, Kelantan",1,6.1236,102.2431
"Paya Terubong, Penang",1,5.4141,100.3288
"Desa Petaling, Kuala Lumpur",1,3.139,101.6869
"Sewon, Yogyakarta Special Region",1,-8.5,117.0
"Muara Bulian, Jambi",1,-0.5,104.0
"Sukarame, Lampung",1,-0.5,104.0
"Ciomas, West Java",1,-6.9175,107.6191
"Wirobrajan, Yogyakarta Special Region",1,-8.5,117.0
"Kabupaten Pasuruan, Jawa Timur",1,-7.5361,112.2384
"Balong Bendo, Jawa Timur",1,-7.5361,112.2384
"Gowa, Sulawesi Selatan",1,-3.0,120.0
"Museum, Central Region",1,1.3521,103.8198
"North Seberang Perai, Penang",1,5.4141,100.3288
"Gerisek, Johor",1,1.4927,103.7414
"Seremban District, Negeri Sembilan",1,2.725,101.9375
"Titiwangsa, Kuala Lumpur",1,3.139,101.6869
"Bandar Penawar, Johor",1,1.4927,103.7414
"Kangkar Tebrau, Johor",1,1.4927,103.7414
"Tanah Merah, Kelantan",1,6.1236,102.2431
"Asem Rowo, Jawa Timur",1,-7.5361,112.2384
"Lim Chu Kang, North Region",1,1.3521,103.8198
"Mundu, West Java",1,-6.9175,107.6191
"East Semarang, Central Java",1,-7.15,110.1403
"Bayshore, East Region",1,1.3521,103.8198
"Bantul, DI Yogyakarta",1,-8.5,117.0
"Widasari, West Java",1,-6.9175,107.6191
"Pasir Tumboh, Kelantan",1,6.1236,102.2431
"Sekinchan, Selangor",1,3.075,101.525
"Bandar Tun Razak, Kuala Lumpur",1,3.139,101.6869
"Jinjang Utara, Kuala Lumpur",1,3.139,101.6869
"Gombak, West Region",1,1.3521,103.8198
"Rochor Canal, Central Region",1,1.3521,103.8198
"Marau, West Kalimantan",1,-1.0,115.0
"West Singkawang, West Kalimantan",1,-1.0,115.0
"Rawalumbu, West Java",1,-6.9175,107.6191
"Purwodadi, East Java",1,-7.5361,112.2384
"Biak Kota, Papua",1,-4.0,137.0
"East Medan, North Sumatra",1,-0.5,104.0
"Medan Tembung, North Sumatra",1,-0.5,104.0
"Sukasari, West Java",1,-6.9175,107.6191
"Prambanan, Yogyakarta Special Region",1,-8.5,117.0
"Ogan Komering Ulu, South Sumatra",1,-0.5,104.0
"Medan Johor, North Sumatra",1,-0.5,104.0
"Medan Satria, West Java",1,-6.9175,107.6191
"Nguter, Central Java",1,-7.15,110.1403
"Kangar, Perlis",1,6.4395,100.1983
"Slim River, Perak",1,4.5975,101.0901
"Hilir Perak District, Perak",1,4.5975,101.0901
"Tenggarong, East Kalimantan",1,-1.0,115.0
"Bulukumba, South Sulawesi",1,-3.0,120.0
"Senja, West Region",1,1.3521,103.8198
"Mount Pleasant, Central Region",1,1.3521,103.8198
"Serdang Bedagai, North Sumatra",1,-0.5,104.0
"Namo Rambe, North Sumatra",1,-0.5,104.0
"Biak Numfor, Papua",1,-4.0,137.0
"Kutai Barat, Kalimantan Timur",1,-1.0,115.0
"Garut, Jawa Barat",1,-6.9175,107.6191
"Samarinda Kota, Kalimantan Timur",1,-1.0,115.0
"Pemalang, Jawa Tengah",1,-7.15,110.1403
"Cipeundeuy, Jawa Barat",1,-6.9175,107.6191
"Trenggalek, Jawa Timur",1,-7.5361,112.2384
"Tegalsari, Jawa Timur",1,-7.5361,112.2384
"Perhentian Islands, Terengganu",1,5.3303,103.1408
"Bera, Pahang",1,3.8,103.0833
"Northeast Penang Island District, Penang",1,5.4141,100.3288
"South Semarang, Central Java",1,-7.15,110.1403
"Galesong, South Sulawesi",1,-3.0,120.0
"Cimaung, West Java",1,-6.9175,107.6191
"Sayung, Jawa Tengah",1,-7.15,110.1403
"Ketapang, Kalimantan Barat",1,-1.0,115.0
"Prabumulih, Sumatera Selatan",1,-0.5,104.0
"Kubang Semang, Penang",1,5.4141,100.3288
"Kulim District, Kedah",1,6.12,100.37
"Tuaran District, Sabah",1,5.9788,116.0753
"Puchong Perdana, Selangor",1,3.075,101.525
"Kotabaru, Kalimantan Selatan",1,-1.0,115.0
"Kabupaten Purwakarta, Jawa Barat",1,-6.9175,107.6191
"Jatiroto, Jawa Timur",1,-7.5361,112.2384
"Probolinggo, Jawa Timur",1,-7.5361,112.2384
"Duren Sawit, Jakarta Raya",1,-6.2088,106.8456
"Bekasi Utara, Jawa Barat",1,-6.9175,107.6191
"Tidore Kepulauan, Maluku Utara",1,-3.0,128.0
"Kaur, Bengkulu",1,-0.5,104.0
"Polewali Mandar, West Sulawesi",1,-3.0,120.0
"Driyorejo, Jawa Timur",1,-7.5361,112.2384
"Purbalingga, Jawa Tengah",1,-7.15,110.1403
"Kabupaten Bogor, Jawa Barat",1,-6.9175,107.6191
"Pasar Minggu, Jakarta Raya",1,-6.2088,106.8456
"North Tarakan, North Kalimantan",1,-1.0,115.0
"Gunung Kidul, Yogyakarta Special Region",1,-8.5,117.0
"West Pasaman, West Sumatra",1,-0.5,104.0
"Taman Puteri Wangsa, Johor",1,1.4927,103.7414
"Taman Suria, Johor",1,1.4927,103.7414
"Cherating, Pahang",1,3.8,103.0833
"Bandar Tasik Puteri, Selangor",1,3.075,101.525
"Kapit, Sarawak",1,1.55,110.3333
"Limbang, Sarawak",1,1.55,110.3333
"Bandar Putra Kulai, Johor",1,1.4927,103.7414
"Kundang, Selangor",1,3.075,101.525
"Ogan Komering Ilir, Sumatera Selatan",1,-0.5,104.0
"Buduran, Jawa Timur",1,-7.5361,112.2384
"Sumba Timur, Nusa Tenggara Timur",1,-8.5,117.0
"Tarakan, Kalimantan Utara",1,-1.0,115.0
"Kabupaten Batang, Jawa Tengah",1,-7.15,110.1403
"Song, Sarawak",1,1.55,110.3333
"Tenom District, Sabah",1,5.9788,116.0753
"Tongkang Pechah, Johor",1,1.4927,103.7414
"Pasir Puteh, Kelantan",1,6.1236,102.2431
"Stulang, Johor",1,1.4927,103.7414
"North Semarang, Central Java",1,-7.15,110.1403
"Tegalrejo, Yogyakarta Special Region",1,-8.5,117.0
"Deli Serdang, Sumatera Utara",1,-0.5,104.0
"Balikpapan Kota, Kalimantan Timur",1,-8.3405,115.092
"South Teluk Betung, Lampung",1,-0.5,104.0
"Manokwari, Papua Barat",1,-4.0,137.0
"Klapanunggal, Jawa Barat",1,-6.9175,107.6191
"Tebo, Jambi",1,-0.5,104.0
"Ponggok, East Java",1,-7.5361,112.2384
"Indragiri Hulu, Riau",1,,
"Pangkalan Kerinci, Riau",1,,
"Pasaman, West Sumatra",1,-0.5,104.0
"Kuala Krau, Pahang",1,3.8,103.0833
"Bandar Baru Ampang, Selangor",1,3.075,101.525
"Bukit Rimau, Selangor",1,3.075,101.525
"Balai Panjang, Melaka",1,2.1896,102.2501
"South Seberang Perai, Penang",1,5.4141,100.3288
"Medini, Johor",1,1.4927,103.7414
"Ayer Tawar, Perak",1,4.5975,101.0901
"Taman Gaya, Johor",1,1.4927,103.7414
"Lok Kawi, Sabah",1,5.9788,116.0753
"Gedangan, Jawa Timur",1,-7.5361,112.2384
"Paser, Kalimantan Timur",1,-1.0,115.0
"Lhoknga, Aceh",1,-0.5,104.0
"Luwu Timur, Sulawesi Selatan",1,-3.0,120.0
"Cikancung, Jawa Barat",1,-6.9175,107.6191
"Masjid Tanah, Melaka",1,2.1896,102.2501
"Teluk Bahang, Penang",1,5.4141,100.3288
"Tikam Batu, Kedah",1,6.12,100.37
"Selesa Jaya, Johor",1,1.4927,103.7414
